"gidro";"meteo";"dist"
"05148";"4346132571";0
"05761";"4351133521";10120.36932592
"05160";"4352133101";0
"05122";"4353133571";0
"05217";"4358132141";0
"05208";"4358132281";0
"05151";"4393311";0
"05216";"4406132011";0
"05166";"4412133081";0
"05092";"4416134471";0
"05167";"4418133261";0
"05128";"4420133571";0
"05202";"4422133041";0
"05132";"4423134271";0
"05089";"4423391";0
"05135";"4425134041";0
"05094";"4431134021";0
"05222";"4432132021";0
"05211";"4433241";0
"05199";"4436132491";0
"05190";"4436132511";0
"05237";"4437131441";0
"05227";"4443141";0
"05155";"4443351";0
"05239";"4455131571";0
"05765";"4457133421";15030.14859458
"05177";"4483281";33297.29009356
"05748";"4483311";0
"05736";"4483421";0
"05256";"4503371";0
"05105";"4505133321";0
"05280";"4508134231";0
"05907";"4513131591";0
"05105";"4513351";0
"05292";"4527134431";0
"05182";"4533133191";0
"05296";"4535134191";0
"05269";"4538134161";17230.45022482
"05290";"4553133541";0
"05108";"4553341";0
"05244";"4553551";0
"05110";"4557133401";0
"05313";"4557136291";85477.66138855
"05254";"4558133511";0
"05277";"4602134101";0
"05668";"4603651";0
"05263";"4613541";0
"05111";"4615133511";12363.14243542
"05262";"4627135501";0
"05307";"4633135221";0
"05311";"4643134211";0
"05307";"4653531";0
"05113";"4706134131";0
"05319";"4713431";0
"05115";"4722134151";0
"05349";"4724136061";0
"05116";"4729134341";0
"05002";"4744131311";0
"05328";"4747134551";0
"05036";"4750131141";0
"05117";"4754134391";0
"05044";"4759131571";0
"05352";"4759135271";0
"05331";"4763481";35059.96217314
"05001";"4773101";0
"05336";"4773621";0
"05348";"4773751";0
"05339";"4783561";0
"05347";"4793501";0
"05675";"4803261";22927.7806357
"05354";"4803511";8895.24136784
"05009";"4816134431";0
"05008";"4827134311";0
"05358";"4842134281";0
"05674";"4845132551";9436.50065006
"05082";"4846132591";0
"05383";"4851134181";0
"06030";"4853130381";0
"05081";"4853132501";0
"05013";"4853501";445.10581977
"05012";"4853561";3861.89631328
"05395";"4853581";2094.07275027
"05074";"4859131351";0
"05746";"4863381";2343.10661361
"05335";"4863711";0
"05016";"4883591";0
"05072";"4900131441";25532.72573659
"06574";"4903111";2460.58898363
"06563";"4907131081";0
"05365";"4907133301";0
"06027";"4918129411";0
"05397";"4923811";32663.52932691
"06568";"4928130221";0
"06496";"4928131331";0
"06076";"493311235";0
"06511";"4943011";5545.50621241
"05370";"4943321";0
"06545";"4951111";0
"05020";"4953661";48685.99555721
"06443";"4955128491";0
"06089";"4961191";3616.65879871
"06037";"4961731";44130.77409982
"06024";"4962801";1326.37561037
"06026";"4962871";0
"06473";"4982991";0
"06528";"4991581";5029.10477836
"05375";"4993461";0
"06529";"500611521";0
"06023";"5008127341";0
"06091";"501111308";3572.13108582
"06414";"5013127531";7008.63896412
"06491";"5013211";1112.30316519
"05364";"5013361";0
"06444";"5014129291";0
"05733";"5017137561";0
"05415";"5020136421";0
"06437";"5022128001";0
"06046";"502511753";0
"06038";"5031911";6678.15674707
"06022";"5032761";3736.37809703
"06080";"503511524";0
"06049";"503911834";0
"06295";"5041127391";0
"06096";"5041651";1128.184227
"06095";"504311704";0
"05420";"5043671";42561.25448102
"05408";"5043841";9498.4292006
"06097";"504411558";0
"06092";"505011334";0
"05024";"5053701";1418.08978615
"06488";"5056132431";0
"06133";"505811146";0
"06424";"5059127581";0
"06093";"5071361";8349.44192183
"06020";"5082731";0
"06084";"5091561";1405.46195371
"06058";"5091791";0
"06421";"5092851";0
"06461";"5093231";0
"05026";"5093821";1112.468404
"06417";"5101129181";0
"06053";"510711926";0
"06564";"5107132131";0
"06171";"510811305";0
"06128";"511111510";0
"06121";"5111461";2101.40024651
"06127";"511711454";0
"06178";"512111344";0
"06573";"512111529";0
"06040";"512111954";0
"06125";"5121371";30275.36945671
"06116";"512211702";0
"06291";"5122811";698.50050356
"06485";"5123301";6571.49272483
"05745";"5123681";0
"06103";"512411740";0
"06456";"5124132431";0
"06479";"5128132391";0
"06108";"512911624";0
"06296";"5132127551";38808.70436884
"05029";"5133931";0
"06086";"513811547";0
"06175";"513911337";0
"05762";"5140135451";0
"06134";"5141251";2331.65774838
"06065";"514311551";0
"06143";"514611536";0
"06180";"514711449";0
"06135";"515011246";24649.77338769
"06562";"5152811";10616.2168032
"06373";"5154129161";0
"06181";"515611552";0
"06163";"515711338";0
"06167";"515711359";0
"06207";"515811739";0
"06159";"515911326";1112.67828249
"06141";"5161431";12463.69686136
"06286";"5162881";0
"06453";"5163331";2769.71107919
"06105";"5171761";2225.21768206
"06259";"5172691";0
"05031";"5174021";0
"06151";"5201331";1767.093415
"06185";"5201651";65213.21192987
"06535";"5202771";14145.78445371
"06060";"5211881";0
"06162";"521211332";0
"94031";"5213141311";0
"05449";"5214136201";0
"06282";"5227128071";0
"06067";"5231771";2611.33774443
"06190";"523211504";0
"06551";"5233401";80255.94450986
"05740";"5233581";2225.4647115
"05461";"5241136261";0
"06155";"5241381";1112.75413667
"05453";"5242137321";0
"06369";"5242991";0
"05451";"5243651";0
"05033";"5244051";680.94979844
"05458";"5248136331";0
"06194";"5251701";22296.63915319
"94097";"5252141141";20432.66389834
"06523";"5253091";2327.0900895
"06197";"525611649";0
"06349";"5259127331";49683.25621939
"06069";"5271881";2603.94404177
"06042";"5282001";2325.76785933
"06010";"5282601";0
"06364";"5283171";0
"05454";"5293891";0
"05803";"5308139511";0
"06184";"5311581";2674.92894398
"06557";"5311761";33475.95671267
"06363";"5313301";1112.87493197
"05805";"5314071";0
"06218";"531811830";1333.41877606
"05805";"5324071";3596.92983394
"06544";"5335126531";0
"06345";"5339126451";0
"06001";"5342161";1331.86088594
"06387";"5343001";31189.89692806
"06003";"5352241";0
"06005";"5352391";1435.2787991
"06235";"5371981";2276.49698853
"06275";"5372731";1979.98125607
"06239";"5392091";2265.43526758
"06250";"5402401";0
"06246";"5404122511";0
"06904";"5408127401";0
"06319";"5421128541";0
"06331";"5422126461";0
"06302";"5426129201";0
"06909";"5438128271";0
"06323";"5452127591";0
"06299";"5452129251";0
"06910";"5472891";0
"06265";"5473051";0
"06329";"5502681";371.0803775
"06334";"5522471";0